Company,Revenues,Profits,Employees,Sector,Industry
Walmart,500343,9862,2300000,Retailing,General Merchandisers
Exxon Mobil,244363,19710,71200,Energy,Petroleum Refining
Berkshire Hathaway,242137,44940,377000,Financials,Insurance: Property and Casualty (Stock)
Apple,229234,48351,123000,Technology,"Computers, Office Equipment"
UnitedHealth Group,201159,10558,260000,Health Care,Health Care: Insurance and Managed Care
McKesson,198533,5070,64500,Wholesalers,Wholesalers: Health Care
CVS Health,184765,6622,203000,Health Care,Health Care: Pharmacy and Other Services
Amazon.com,177866,3033,566000,Retailing,Internet Services and Retailing
AT&T,160546,29450,254000,Telecommunications,Telecommunications
General Motors,157311,-3864,180000,Motor Vehicles & Parts,Motor Vehicles and Parts
Ford Motor,156776,7602,202000,Motor Vehicles & Parts,Motor Vehicles and Parts
AmerisourceBergen,153144,364.5,19500,Wholesalers,Wholesalers: Health Care
Chevron,134533,9195,51900,Energy,Petroleum Refining
Cardinal Health,129976,1288,40400,Wholesalers,Wholesalers: Health Care
Costco,129025,2679,182000,Retailing,General Merchandisers
Verizon,126034,30101,155400,Telecommunications,Telecommunications
Kroger,122662,1907,449000,Food &  Drug Stores,Food and Drug Stores
General Electric,122274,-5786,313000,Industrials,Industrial Machinery
Walgreens Boots Alliance,118214,4078,290000,Food &  Drug Stores,Food and Drug Stores
JPMorgan Chase,113899,24441,252539,Financials,Commercial Banks
Fannie Mae,112394,2463,7200,Financials,Diversified Financials
Alphabet,110855,12662,80110,Technology,Internet Services and Retailing
Home Depot,100904,8630,413000,Retailing,Specialty Retailers: Other
Bank of America Corp.,100264,18232,209376,Financials,Commercial Banks
Express Scripts Holding,100065,4517.4,26600,Health Care,Health Care: Pharmacy and Other Services
Wells Fargo,97741,22183,262700,Financials,Commercial Banks
Boeing,93392,8197,140800,Aerospace & Defense,Aerospace and Defense
Phillips 66,91568,5106,14600,Energy,Petroleum Refining
Anthem,90040,3842.8,56000,Health Care,Health Care: Insurance and Managed Care
Microsoft,89950,21204,124000,Technology,Computer Software
Valero Energy,88407,4065,10015,Energy,Petroleum Refining
Citigroup,87966,-6798,209000,Financials,Commercial Banks
Comcast,84526,22714,164000,Telecommunications,Telecommunications
IBM,79139,5753,397800,Technology,Information Technology Services
Dell Technologies,78660,-3728,145000,Technology,"Computers, Office Equipment"
State Farm Insurance Cos.,78331,2206.5,65664,Financials,Insurance: Property and Casualty (Mutual)
Johnson & Johnson,76450,1300,134000,Health Care,Pharmaceuticals
Freddie Mac,74676,5625,6165,Financials,Diversified Financials
Target,71879,2934,345000,Retailing,General Merchandisers
Lowes,68619,3447,255000,Retailing,Specialty Retailers: Other
Marathon Petroleum,67610,3432,43800,Energy,Petroleum Refining
Procter & Gamble,66217,15326,95000,Household Products,Household and Personal Products
MetLife,66153,4010,49000,Financials,"Insurance: Life, Health (stock)"
UPS,65872,4910,346415,Transportation,"Mail, Package, and Freight Delivery"
PepsiCo,63525,4857,263000,"Food, Beverages & Tobacco",Food Consumer Products
Intel,62761,9601,102700,Technology,Semiconductors and Other Electronic Components
DowDuPont,62683,1460,98000,Chemicals,Chemicals
Archer Daniels Midland,60828,1595,31300,"Food, Beverages & Tobacco",Food Production
Aetna,60535,1904,47950,Health Care,Health Care: Insurance and Managed Care
FedEx,60319,2997,357000,Transportation,"Mail, Package, and Freight Delivery"
United Technologies,59837,4552,204700,Aerospace & Defense,Aerospace and Defense
Prudential Financial,59689,7863,49705,Financials,"Insurance: Life, Health (stock)"
Albertsons Cos.,59678,-373.3,273000,Food &  Drug Stores,Food and Drug Stores
Sysco,55371,1142.5,66500,Wholesalers,Wholesalers: Food and Grocery
Disney,55137,8980,199000,Media,Entertainment
Humana,53767,2448,45900,Health Care,Health Care: Insurance and Managed Care
Pfizer,52546,21308,90200,Health Care,Pharmaceuticals
HP,52056,2526,49000,Technology,"Computers, Office Equipment"
Lockheed Martin,51048,2002,100000,Aerospace & Defense,Aerospace and Defense
AIG,49520,-6084,49800,Financials,Insurance: Property and Casualty (Stock)
Centene,48572,828,33700,Health Care,Health Care: Insurance and Managed Care
Cisco Systems,48005,9609,72900,Technology,Network and Other Communications Equipment
HCA Healthcare,47653,2216,221491,Health Care,Health Care: Medical Facilities
Energy Transfer Equity,47487,954,29486,Energy,Pipelines
