Rank,Name,Number Of Employees,Change In Rank,Industry,Company Description,Revenues_millions,Revenue_Change,Profits_millions,Profit_Change,"Assets
($millions)","Market Value
As of 3/31/20 ($m)"
829,Texas Roadhouse,35554,39,Restaurants,"Texas Roadhouse Is An American Chain Restaurant That Specializes In Steaks Around A Western Theme And Is A Subsidiary Of Texas Roadhouse Inc, Which Is Headquartered In Louisville, Kentucky.","$2,756",12.20%,$174.50,10.30%,"$1,984","$2,867"
830,Cooper Tire & Rubber,8720,-32,Manufacturing Company,"Cooper Tire & Rubber Company Is An American Company That Specializes In The Design, Manufacture, Marketing And Sales Of Replacement Automobile And Truck Tires, And Subsidiaries That Specialize In Medium Truck, Motorcycle And Racing Tires.","$2,753",-2.00%,$96.40,25.90%,"$2,802",$819
831,Euronet Worldwide,7700,18,Credit Card Service Company,"Euronet Worldwide Is An American-headquartered Worldwide Provider Of Electronic Payment Services With Headquarters In Leawood, Kansas.","$2,750",8.40%,$346.70,48.90%,"$4,658","$4,588"
832,Zillow Group,5249,-,Real Estate,"The Company Provides Information About Homes, Real Estate Listings, And Mortgages Through Their Website And Mobile Applications.","$2,743",105.70%,-$305.40,-,"$6,132","$7,411"
833,Atlas Air Worldwide Holdings,3587,-7,Airlines,"The Company, Through Its Subsidiaries, Provides Aircraft, Crew, Commercial And Military Charter, Maintenance, And Insurance Freighter Aircraft To Major Airlines Around The World.","$2,739",2.30%,-$293.10,-208.30%,"$5,386",$666
834,Energizer Holdings,7500,-,Consumer Goods,American Manufacturer And One Of The World's Largest Manufacturers Of Batteries.,"$2,730",51.80%,$51.10,-45.30%,"$5,450","$2,100"
835,Magellan Midstream Partners,1884,-40,Publicly Traded Company,"Magellan Midstream Partners, L.p. Is Primarily Involved In The Storage, Transportation, And Distribution Of Refined Petroleum Products And Ammonia.","$2,728",-3.50%,"$1,020.80",-23.50%,"$8,438","$8,310"
836,Hain Celestial Group,5441,-64,Foodstuffs,"The Hain Celestial Group, Inc. Is An American Food Company Whose Main Focus Is Foods And Personal Care Products.","$2,711",-8.70%,-$183.30,-1991.00%,"$2,583","$2,711"
837,Univision Communications,4500,-36,Media Company,"The Company Broadcasts Entertainment, Sports, News, And Lifestyle Shows. Univision Communications Operates In The United States.","$2,704",-3.20%,$286.80,5875.00%,"$9,321",-
838,Equity Residential,2700,4,Real Estate Investment Trust Company,Equity Residential Is A Publicly Traded Real Estate Investment Trust That Invests In Apartments.,"$2,701",4.80%,$970.40,47.60%,"$21,173","$22,955"
839,Allison Transmission Holdings,3700,-22,Automotive,Allison Transmission Is An American Manufacturer Of Commercial Duty Automatic Transmissions And Hybrid Propulsion Systems.,"$2,698",-0.60%,$604.00,-5.50%,"$4,450","$3,819"
840,Colony Capital,400,-12,Private Equity Company,"Colony Capital, Inc. Is A Leading Global Digital Infrastructure, Real Estate, And Investment Management Firm That Creates Long-term Value Through Identifying And Capitalizing On Differentiated Investment Opportunities","$2,690",0.90%,"-$1,048.80",-,"$19,832",$853
841,Ttm Technologies,25700,-50,Electrical & Electronic Manufacturing,"Ttm Technologies, Inc. Is An Independent Provider Of Time-critical, One-stop Manufacturing Services For Printed Circuit Boards. The Circuit Boards Serve As A Foundation For Electronic Products Such As Routers, Switches, Servers, Memory Modules, And Cellular Base Stations.","$2,689",-5.50%,$41.30,-76.20%,"$3,561","$1,096"
842,Clear Channel Outdoor Holdings,5900,-,Out-of-home Advertising Company,"Clear Channel Outdoor Holdings, Inc. Operates As A Holding Company. The Company, Through Its Subsidiaries, Provides Out-of-home Display Advertising Such As Digital Billboards, Posters, Panels, Wallscapes, And Mobile Advertising Services. Clear Channel Outdoor Holdings Serves Customers In The United States.","$2,684",-1.40%,-$363.30,-,"$6,393",$299
843,Guess,15800,-7,Clothing Company,"Guess Is An American Clothing Brand And Retailer. In Addition To Clothing For Both Men And Women, Guess Markets Other Fashion Accessories Such As Watches, Jewelry, Perfumes, Bags And Shoes","$2,678",2.60%,$96.00,580.70%,"$2,429",$444
844,Rent-a-center,14500,-14,Furniture Company,"Rent-a-center Is An American Public Furniture And Electronics Rent-to-own Company Based In Plano, Texas","$2,670",0.40%,$173.50,1943.60%,"$1,583",$781
845,Take-two Interactive Software,4894,-,Video Game Company,"Take-two Interactive Software, Inc. Is An American Video Game Holding Company Based In New York City","$2,668",48.80%,$333.80,92.40%,"$4,243","$13,453"
846,Vishay Intertechnology,22400,-87,Semiconductor Manufacturing Company,"Global Manufacturer Of Semiconductors (diodes, Mosfets, And Optoelectronics) And Passive Electronic Components (resistors, Inductors And Capacitors).","$2,668",-12.10%,$163.90,-52.60%,"$3,121","$2,084"
847,Transunion,8000,54,Information Technology,"Transunion Offers Total Credit Protection All In One Place From Credit Score, Credit Report And Credit Alert. Check Your Credit Score Today From Transunion!","$2,656",14.60%,$346.90,25.40%,"$7,113","$12,560"
848,Cooper,12000,2,Entertainment,"The Cooper Company Represents A Roster Of Dynamic Choreographers, Directors, Actors, And Authors. Our Choreographers Are Counted Among The Leaders In The Worlds Of Film, Television, And Theater.","$2,653",4.80%,$466.70,233.60%,"$6,275","$14,702"
849,Fleetcor Technologies,8700,23,Commercial Company,"The Company Offers Payment Solutions Which Help Businesses Control, Simplify, And Secure Payment For Fuel, General Payables, Toll, And Lodging Expenses. Fleetcor Technologies Serves Customers Worldwide.","$2,649",8.80%,$895.10,10.30%,"$12,249","$15,936"
850,Rh,4750,6,Retail-store Company,"The Company Offers Products Such As Furniture, Lighting, Textiles, Bathware, Decor, Outdoor, And Garden, As Well As Baby And Child Products. Rh Distributes Its Products Through Retail Stores, Catalogs, And Websites.","$2,647",5.70%,$220.40,46.30%,"$2,446","$1,933"
851,Renewable Energy Group,829,28,Renewable Energy,"Renewable Energy Group Produces And Supplies Renewable Fuels Like Biodiesel And Renewable Diesel, Renewable Chemicals, And Other Products","$2,643",10.60%,$380.10,30.00%,"$1,785",$801
852,Bluelinx Holdings,2189,-66,Wholesale Company,"Bluelinx Corporation, Is A Leading Distributor Of Building Products In North America.","$2,637",-7.90%,-$17.70,-,$971,$46
853,California Resources,1250,-104,Petroleum Industry,California Resources Corporation Operates As An Independent Oil And Natural Gas Exploration And Production Company In The State Of California.,"$2,634",-14.00%,-$28.00,-108.50%,"$6,958",$49
854,Topbuild,10400,28,Construction Industry.,The Company Offers Residential Insulation Products And Related Accessories. Topbuild Serves Customers In The United States.,"$2,624",10.10%,$191.00,41.70%,"$2,604","$2,400"
855,Charles River Laboratories International,17100,61,Pharmaceutical Company,"Charles River Laboratories International, Inc. Provides Research Tools And Support Services For Drug Discovery And Development.","$2,621",15.70%,$252.00,11.30%,"$4,693","$6,246"
856,Comfort Systems Usa,12000,78,"Heating, Ventilation, And Air Conditioning Company","Comfort Systems Usa, Inc. Provides Heating, Ventilation And Air Conditioning Installation, Maintenance, Repair And Replacement Services Within The Mechanical Services Industry","$2,615",19.80%,$114.30,1.30%,"$1,505","$1,338"
857,Verisk Analytics,9180,20,Data Analytics,"Verisk Is A Leading Data Analytics Provider Serving Customers In Insurance, Energy And Specialized Markets, And Financial Services.","$2,607",8.90%,$449.90,-24.90%,"$7,055","$22,730"
858,Resmed,7240,36,Medication Company,"It Primarily Provides Cloud-connectable Medical Devices For The Treatment Of Sleep Apnea, Chronic Obstructive Pulmonary Disease, And Other Respiratory Conditions.","$2,607",11.40%,$404.60,28.20%,"$4,108","$21,301"
859,Teleflex,14400,11,Medical Device Manufacturing,Teleflex Is A Global Provider Of Medical Technologies Designed To Improve The Health And Quality Of People's Lives.,"$2,595",6.00%,$461.50,129.80%,"$6,310","$13,580"
860,New Jersey Resources,1108,-81,Holding Company,New Jersey Resources Corporation Provides Retail And Wholesale Energy Services.,"$2,592",-11.10%,$169.50,-27.40%,"$4,373","$3,247"
861,New Residential Investment,3387,61,Real Estate,New Residential Investment Corp. Is A Public Real Estate Investment Trust Focused On Investing In The Residential Housing Sector.,"$2,586",15.60%,$563.30,-41.60%,"$44,864","$2,082"
862,Interactive Brokers Group,1643,26,Foreign Exchange Company,"It Is An Automated Global Electronic Market Maker And Broker Specializing In Routing Orders And Executing And Processing Trades In Securities, Futures, And Foreign Exchange Instruments.","$2,580",9.00%,$161.00,-4.70%,"$71,676","$3,313"
863,Zayo Group Holdings,3781,-25,Privately Held Company,"Zayo Group Holdings, Inc. Provides Bandwidth Infrastructure Services. The Company Offers Dark Fiber, Wavelengths, Sonet, Ethernet, Ip, And Carrier-neutral Colocation And Interconnection. Zayo Group Holdings Serves Customers Worldwide.","$2,578",-1.00%,$150.00,47.20%,"$9,335",-
864,Herman Miller,8000,20,Furniture Company,Herman Miller Is A Globally Recognized Provider Of Furnishings And Related Technologies And Services.,"$2,567",7.80%,$160.50,25.30%,"$1,569","$1,311"
865,Grocery Outlet Holding,765,-,Supermarket Company,"Grocery Outlet Holding Corp. Is A Chain Of Discount Supermarkets That Offer Discounted, Overstocked And Closeout Products From Name Brand And Private Label Suppliers.","$2,560",11.90%,$15.40,-2.80%,"$2,186","$3,087"
866,J.crew Group,9400,-6,Specialty Retail Company,"The Company Offers An Assortment Of Women's, Men's, And Children's Apparel And Accessories, Including Swimwear, Outerwear, Lounge-wear, Bags, Sweaters, Denim, Dresses, Suiting, Jewelry, And Shoes.","$2,540",2.30%,-$78.80,-,"$1,599",-
867,Century Communities,1460,78,Construction Company,"Century Communities, Inc. Operates As A Home Building And Construction Company. The Company Offers Acquisition, Development, Construction, Marketing, Sale And Management Services For Various Residential Projects. Century Communities Serves Clients In The United States.","$2,536",18.10%,$113.00,17.10%,"$2,500",$483
868,Eldorado Resorts,15500,103,Hospitality,"Eldorado Resort Inc. Manages Multiple Casinos, Hotels And Restaurants In Reno.","$2,528",23.00%,$81.00,-14.90%,"$5,641","$1,120"
869,Catalent,12300,-4,Pharmaceutical Company,"It Is A Global Provider Of Delivery Technologies, Development, Drug Manufacturing, Biologics, Gene Therapies And Consumer Health Products.","$2,518",2.20%,$137.40,64.40%,"$6,184","$8,045"
870,Itron,7300,16,Technology Company,Itron Is An American Technology Company That Offers Products And Services On Energy And Water Resource Management.,"$2,503",5.30%,$49.00,-,"$2,708","$2,242"
871,M/i Homes,1401,36,Construction Company,M/i Homes Is One Of The Nation's Leading Homebuilders.,"$2,500",9.40%,$127.60,18.50%,"$2,106",$472
872,Cboe Global Markets,823,-69,Security & Commodity Exchanges,"Cboe Global Markets, Inc. Is A Holding Company That Provides Trading And Investment Solutions To Investors Around The World.","$2,496",-9.80%,$374.90,-12.10%,"$5,114","$9,856"
873,Idex,7439,-11,Manufacturing Company,"It Is A Publicly Traded Company Engaged In The Development, Design, And Manufacture Of Fluidics Systems And Specialty Engineered Products.","$2,495",0.40%,$425.50,3.60%,"$3,814","$10,529"
874,Belden,7000,-34,Electrical & Electronic Manufacturing,"Belden Incorporated Is An American Manufacturer Of Networking, Connectivity, And Cable Products.","$2,492",-3.60%,-$377.00,-334.30%,"$3,407","$1,640"
875,Curtiss-wright,9100,1,Arms Industry Company,"Curtiss-wright Delivers Engineered, Critical Function Products And Services To The Commercial, Industrial, Defense, And Energy Markets.","$2,488",3.20%,$307.60,11.50%,"$3,764","$3,929"
876,Cheesecake Factory,46250,20,Restaurant Company,The Cheesecake Factory Incorporated Is An American Restaurant Company And Distributor Of Cheesecakes Based In The United States.,"$2,483",6.40%,$127.30,28.50%,"$2,841",$768
877,Genesis Energy,2177,-97,Electric Utilities,"The Company Owns And Operates Hydroelectric Generating Stations To Produce Electricity, As Well As Explores Natural Gas And Bottled Liquefied Petroleum Gas.","$2,481",-14.80%,$96.00,-,"$6,598",$481
878,Geo Group,22000,19,Real Estate Investment Trust,"The Company Offers Educational Programs, Vocational Training, And Rehabilitation Therapy Services.","$2,478",6.30%,$166.60,14.80%,"$4,318","$1,474"
879,Patterson-uti Energy,5800,-170,Well Drilling,"The Company Conducts Drilling Operations, Uti Is Also Involved In Pressure Pumping, Oil And Gas Exploration And Production, And Drilling And Completion Fluids Services.","$2,471",-25.70%,-$425.70,-,"$4,440",$452
880,Werner Enterprises,12736,-13,Transportation Company,"Werner Enterprises, Inc. Is A Transportation Company That Primarily Hauls Truckload Shipments Of General Commodities In Both Interstate And Intrastate Commerce. The Company Operates In The Continental United States, As Well As In Canada And Mexico.","$2,464",0.20%,$166.90,-0.70%,"$2,144","$2,515"
881,Ingersoll Rand,6600,-59,Industrial Manufacturer,"The Company Offers Compressed Air, Pumps, Heating, Ventilating, Air Conditioning, Temperature Control, And Fluid Handling Equipment. Ingersoll-rand Serves Customers Worlwide.","$2,452",-8.80%,$159.10,-40.90%,"$4,628","$10,306"
882,Verso,3700,-58,Paper Mill Company,"Verso Corporation Is A Leading North American Producer Of Specialty And Graphic Papers, Packaging And Pulp.","$2,444",-8.90%,$96.00,-43.90%,"$1,721",$397
883,Mueller Industries,4964,-28,Metals Company,"Mueller Industries, Inc. Is A World Leader In The Manufacture Of Products Supporting Piping Systems, Climate Control Systems, And Various Oem Applications.","$2,431",-3.10%,$101.00,-3.30%,"$1,371","$1,365"
884,Nu Skin Enterprises,24900,-59,Consumer Staple Products,The Company Distributes Personal Care Products And Nutritional Supplements.,"$2,420",-9.70%,$173.60,42.40%,"$1,769","$1,214"
885,Revlon,7100,-39,Cosmetics Company,"Revlon, Inc. Is An American Multinational Cosmetics, Skin Care, Fragrance, And Personal Care Company.","$2,420",-5.70%,-$157.70,-,"$2,981",$580
886,Arista Networks,2300,57,Tech Hardware & Semiconductors,"The Company Designs And Sells Multilayer Network Switches To Deliver Software-defined Networking Solutions For Large Datacenter, Cloud Computing, High-performance Computing, And High-frequency Trading Environments.","$2,411",12.10%,$859.90,162.10%,"$4,185","$15,491"
887,Idexx Laboratories,9200,42,Healthcare Diagnostic Substances,"Idexx Laboratories, Inc. Is An American Multinational Corporation Engaged In The Development, Manufacture, And Distribution Of Products And Services For The Companion Animal Veterinary, Livestock And Poultry, Water Testing, And Dairy Markets.","$2,407",8.80%,$427.70,13.40%,"$1,833","$20,645"
888,Align Technology,14530,107,Orthodontics Company,"Align Technology, Inc. Designs, Manufactures, And Markets The Invisalign System For Treating Malocclusion Or The Misalignment Of Teeth.","$2,407",22.40%,$442.80,10.60%,"$2,501","$13,699"
889,Waters,7467,-14,Lab Equipment,"Waters Is The Leading Provider Of Lab Equipment, Supplies And Software For Scientists Across The World. Easily Research And Order Everything Your Lab Needs!","$2,407",-0.60%,$592.20,-0.30%,"$2,557","$11,316"
890,Synovus Financial,5389,-,Financial Services,"The Company Offers Commercial, Retail Banking, And Investment Services.","$2,407",48.10%,$563.80,31.60%,"$48,203","$2,586"
891,Brightview Holdings,21978,-1,Commercial Company,"Brightview Holdings Serves Commercial, Education, Health Care, Residential, And Retail Sectors In The United States.","$2,405",2.20%,$44.40,-,"$2,929","$1,160"
892,Rev Group,8040,-9,Emergency And Recreational,"Rev Group, Inc. Operates As A Designer, Manufacturer, And Distributor Of Specialty Vehicles And Related Aftermarket Parts And Services.","$2,404",0.90%,-$12.30,-194.60%,"$1,347",$264
893,Brown & Brown,10083,88,Insurance Company,"Brown & Brown, Inc. Is A Provider Of Insurance, Reinsurance Products And Federal Programs Services To General Business, Corporate, Governmental And Quasi-governmental, Institutional, Professional, Trade Association And Individual Clients.","$2,392",18.80%,$398.50,15.80%,"$7,623","$10,269"
894,Valvoline,7900,14,Chemical Manufacturing,"Valvoline Inc. Is An American Manufacturer And Distributor Of Valvoline-brand Automotive Oil, Additives, And Lubricants.","$2,390",4.60%,$208.00,25.30%,"$2,064","$2,467"
895,Knights Of Columbus,772,5,Financial Services,The Organization Provides Certain Financial Services To Affiliated Groups And Individuals.,"$2,388",3.00%,$148.30,83.80%,"$26,861",-
896,Central Garden & Pet,5550,32,Consumer Staple Products,"The Company Offers Dogs And Cats Supplies Products, Including Edible Bones, Healthy Edible And Non-edible Chews, Pet Carriers, And Grooming Supplies, As Well As Products For Birds, Small Animals, And Specialty Pets, Including Food, Cages And Habitats, Toys, Chews, And Related Accessories.","$2,383",7.60%,$92.80,-24.90%,"$2,025","$1,441"
897,Carpenter Technology,5100,43,Steel Industry Company,"Carpenter Technology Corporation Is A Leading Producer And Distributor Of Premium Specialty Alloys, Including Titanium Alloys, Powder Metals, Stainless Steels, Alloy Steels, And Tool Steels.","$2,380",10.30%,$167.00,-11.40%,"$3,188",$932
898,Slm Corp,1900,-,Financial Services,"Slm Corporation, Commonly Known As Sallie Mae, Provides Education Funding, Originating And Servicing Of U.s. Government Guaranteed And Private Student Loans.","$2,380",26.40%,$578.30,18.60%,"$32,687","$3,039"
899,Kennametal,10395,-12,Metals,Kennametal Is An American Supplier Of Tooling And Industrial Materials.,"$2,375",0.30%,$241.90,20.90%,"$2,656","$1,544"
900,Lci Industries,10500,-36,Retail,"Lci Industries Manufactures Recreational Vehicles And Equipment. The Company Offers Toolboxes, Truck Caps, Running Boards, Side-outs, Mattresses, Alignment Systems, Shock Absorber, Power Stabilizer Jacks, Baggage Doors, And Sliders.","$2,372",-4.20%,$146.50,-1.40%,"$1,863","$1,674"
901,Trueblue,6200,-43,Staffing & Recruiting,"Trueblue Is A Leading Staffing, Recruiting And Workforce Management Company.","$2,369",-5.20%,$63.10,-4.10%,"$1,136",$493
902,Cimarex Energy,987,-7,Energy,"Cimarex Energy Co. Explores And Produces Crude Oil And Natural Gas In The United States. The Company Conducts Its Activities In The States Of Oklahoma, Kansas, Louisiana, And Texas.","$2,363",1.00%,-$124.60,-115.70%,"$7,140","$1,719"
903,Splunk,5800,-,Software Company,"Splunk Inc. Produces Software For Searching, Monitoring, And Analyzing Machine-generated Big Data Via A Web-style Interface.","$2,359",30.80%,-$336.70,-,"$5,440","$20,023"
904,Siteone Landscape Supply,4416,51,Industrial Service,Siteone Landscape Supply Is The Largest And Only National Wholesale Distributor Of Landscaping Products In The United States And Canada.,"$2,358",11.60%,$77.70,5.10%,"$1,443","$3,077"
905,Hexcel,6977,27,Industrial Product,"Hexcel Corporation Develops, Manufactures, And Markets Reinforcement Products, Composite Materials, And Engineered Products. The Company's Products Are Used In The Commercial Aerospace, Space And Defense, Electronics, General Industrial, And Recreation Markets For A Variety Of End Products. Hexcel Operates Around The World.","$2,356",7.60%,$306.60,10.80%,"$3,129","$3,100"
906,Fti Consulting,5567,72,Management Consulting Company,"Fti Consulting, Inc. Is An Independent Global Business Advisory Firm Dedicated To Helping Organizations Manage Change, Mitigate Risk And Resolve Disputes: Financial, Legal, Operational, Political & Regulatory, Reputational And Transactional.","$2,353",16.00%,$216.70,43.90%,"$2,783","$4,491"
907,Party City Holdco,14350,-34,Retail Chain Company,"Party City Holdco Inc. Offers Its Products Through Company-owned Stores, Independent Party Supply Stores, Mass Merchants, Grocery Retailers, And Dollar Stores.","$2,349",-3.20%,-$532.50,-532.00%,"$3,595",$43
908,Ohio National Mutual,1109,-28,Insurance And Financial,"Ohio National Mutual Holdings, Inc. Operates As A Holding Company. The Company, Through Its Subsidiaries, Provides Annuities, Investment, Retirement, And Life Insurance Products And Services.","$2,341",-2.00%,-$67.60,-193.10%,"$40,367",-
909,Patrick Industries,7500,8,Consumer Discretionary Products,"Patrick Industries, Inc. Manufactures And Distributes Building Products For The Manufactured Housing, Recreational Vehicle, Furniture Manufacturing, Marine, Automotive Aftermarket, And Other Industries. The Company Manufactures Vinyl And Paper Panels, Cabinet Doors, Countertops, Aluminum Extrusions, Drawer Sides, Pleated Shades, Wood Adhesives, And Laminating Machines.","$2,337",3.30%,$89.60,-25.30%,"$1,471",$673
910,Cadence Design Systems,8078,38,software & Tech Services,"Cadence Design Systems, Inc. Provides Software Technology, Design And Consulting Services And Technology. The Company Licenses Its Electronic Design Automation Software Technology And Provides A Variety Of Professional Services. Cadence's Design Realization Solutions Are Used To Design And Develop Complex Chips And Electronic Systems, Including Semiconductors.","$2,336",9.30%,$989.00,186.00%,"$3,357","$18,546"
911,Cdk Global,9000,-,software & Tech Services,"Cdk Global, Inc. Is A Provider Of Integrated Information Technology And Digital Marketing Solutions To The Automotive Retail Industry. The Company Integrates Workflow Processes From Pre-sale Targeted Advertising And Marketing Campaigns To The Sale, Financing, Insurance, Parts Supply, Repair, And Maintenance Of Vehicles.","$2,333",2.60%,$124.00,-67.40%,"$2,999","$3,991"
912,Avalonbay Communities,3122,-3,Real Estate,"Avalonbay Communities, Inc. Is A Real Estate Investment Trust. The Company Develops, Redevelops, Acquires, Owns, And Operates Multifamily Communities In The United States","$2,325",1.80%,$786.00,-19.30%,"$19,121","$20,712"
913,Wabash National,6900,2,Industrial Product,"Wabash National Corporation Designs, Manufactures, And Supplies Trailers. The Company Offers Dry Freight And Refrigerated Vans, Flatbed, Drop Deck, Dump Trailers, Truck Bodies, And Stainless Steel Vessels. Wabash National Serves Customers In North America.","$2,319",2.30%,$89.60,29.00%,"$1,305",$382
914,Service Properties Trust,600,-10,Real Estate Investment Trust Company,"Service Properties Trust Operates As A Real Estate Investment Trust. The Company Invests In Properties, As Well As Provides Leasing And Management Services.","$2,316",0.90%,$259.80,39.90%,"$9,034",$889
915,Maxim Integrated Products,7131,-52,Publicly Traded Company,"Maxim Integrated Is An American, Publicly Traded Company That Designs, Manufactures, And Sells Analog And Mixed-signal Integrated Circuits.","$2,314",-6.70%,$827.50,77.10%,"$3,744","$13,095"
916,People's United Financial,6305,-,Banking,"People's United Financial, Inc. Is A Savings And Loan Holding Company. The Company Provides Commercial, Retail, And Business Banking, And Wealth Management Services To Individual, Corporate, And Municipal Customers.","$2,312",20.30%,$520.40,11.20%,"$58,590","$4,793"
917,Bio-rad Laboratories,8120,-11,Biotechnology,"The Company Manufacturers And Distributes Life Science Research Products, Clinical Diagnostics, And Analytical Instrumentation. Bio-rad Laboratories Products And Systems Separate Complex Chemical And Biological Materials, As Well As Identify, Analyze, And Purify Their Components.","$2,312",1.00%,"$1,758.70",381.00%,"$8,009","$10,491"
918,Option Care Health,5492,-,Health Care,"Option Care Health, Inc. Provides Infusion And Home Care Management Solutions. The Company Offers Products, Services, And Condition-specific Clinical Management Programs For Gastrointestinal Abnormalities, Infectious Diseases, Cancer, Organ And Blood Cell Transplants, Bleeding Disorders, And Heart Failures. Option Care Health Serves Patients In The United States.","$2,310",15.50%,-$75.90,-,"$2,590","$1,673"
919,Louisiana-pacific,4800,-125,Materials,"Louisiana-pacific Corporation Manufactures Building Materials And Engineered Wood Products In The United States, Canada, Chile, And Brazil. The Company's Products Are Used By Homebuilders And Light Commercial Builders. Louisiana Pacific Products Include Oriented Strand Board Sheathing, Flooring, Radiant Barrier Panels, Siding And Trim, I-joists, And Laminated Veneer Lumber.","$2,310",-18.30%,-$5.00,-101.30%,"$1,835","$1,925"
920,Tegna,6883,10,Media,"Tegna Inc. Is A Broadcasting, Digital Media And Marketing Services Company. The Company Owns And Operates Television Stations, Delivering News And Informative Content. Tegna Also Provides Marketing Solutions And Services To Individuals And Businesses Of All Sizes. Its Stated Purpose Is To Serve The Greater Good Of Its Communities.","$2,300",4.20%,$286.20,-29.40%,"$6,954","$2,371"
921,Teradyne,5400,39,Tech Hardware & Semiconductors,"Teradyne, Inc. Designs, Manufactures, Sells, And Supports Semiconductor Test Products And Services On A Worldwide Basis. The Company's Test Equipment Products And Services Include, Semiconductor Test Systems, Military, Aerospace Test Instrumentation, Circuit-board Test, Inspection Systems, Automotive Diagnostic, And Test Systems","$2,295",9.20%,$467.50,3.50%,"$2,787","$9,026"
922,Arch Resources,3700,-53,Materials,"Arch Resources, Inc. Owns And Operates Coal Mines. The Company Produces Metallurgical Coals, And Supplies High-vol A Coking Coal, As Well As Specializes In Mining, Marketing, And Logistics. Arch Resources Serves Customers Worldwide.","$2,294",-6.40%,$233.80,-25.20%,"$1,868",$438
923,Epam Systems,36739,-,Software Company,"Epam Systems, Inc. Offers Information Technology Services. The Company Provides Software Development, Outsourcing Services, E-business, Enterprise Relationship Management, And Content Management Solutions. Epam Systems Serves Customers In The United States.","$2,294",24.50%,$261.10,8.70%,"$2,244","$10,259"
924,Wpx Energy,590,-43,Energy Sector,Wpx Energy Inc. Is An Independent Energy Producer With Core Acreage Positions In The Permian And Williston Basins. The Company Also Has A Midstream Presence In The Permian Basin.,"$2,292",-3.90%,$256.00,69.50%,"$8,413","$1,706"
925,Contura Energy,4360,52,Mining Company,"Contura Energy, Inc. Provides Coal Mining Services. The Company Supplies Metallurgical And Thermal Coal To Generate Power. Contura Energy Serves Customers Globally","$2,291",12.70%,-$316.30,-205.70%,"$2,303",$43
926,Ensign Group,24500,48,Home Health Care Services Company,Ensign Group Inc Provides Post-acute Healthcare Services In The United States.,"$2,286",12.00%,$110.50,19.70%,"$2,362","$2,013"
927,First Horizon National,4994,-13,Bank Holding Company,"First Horizon National Corp. Offers Capital Market Services, Regional Banking And Wealth Management Through Our First Horizon Family Of Companies.","$2,278",0.40%,$440.90,-19.10%,"$43,311","$2,513"
928,Wolverine World Wide,4000,-7,Consumer Discretionary Products,"Wolverine World Wide, Inc. Manufactures And Markets Branded Footwear And Performance Leathers. The Company's Products Include Shoes, Slippers, Occupational And Safety Footwear, And Performance Outdoor Footwear, Among Others.","$2,274",1.50%,$128.50,-35.80%,"$2,480","$1,232"
929,Vail Resorts,23000,54,Consumer Discretionary Services,"The Company's Resorts Include Vail Mountain, A Ski Mountain Complex, And Beaver Creek Resort, A Family Oriented Mountain Resort. Vail Resorts Also Operates Breckenridge Mountain, A Destination Resort With Apres-ski Activities And Keystone Resort, A Year-round Family Vacation Destination","$2,272",12.90%,$301.20,-20.70%,"$4,426","$5,948"
930,Benchmark Electronics,10600,-85,Tech Hardware & Semiconductors,"Benchmark Electronics, Inc. Provides Contract Electronics Manufacturing And Design Services. The Company Serves Original Equipment Manufacturers Of Medical Devices, Industrial Control Equipment, Testing And Instrumentation Products, And Telecommunications Equipment. Benchmark Also Offers Product Design, Printed Circuit Board Layout, Prototyping And Test Development Services.","$2,268",-11.60%,$23.40,2.70%,"$1,760",$728
931,Hni,8450,-13,Wood Office Furniture Manufacturing Company,Hni Corporation Is One Of The Largest Office Furniture Manufacturers In The World In Regard To Revenues Resulting From Office Segment Sales.,"$2,247",-0.50%,$110.50,18.30%,"$1,453","$1,076"
932,F5 Networks,5325,7,Technology Company,"F5, Inc. Is An American Company That Specializes In Application Services And Application Delivery Networking. F5 Technologies Focus On The Delivery, Security, Performance, And Availability Of Web Applications, Including The Availability Of Computing, Storage, And Network Resources.","$2,242",3.70%,$427.70,-5.70%,"$3,390","$6,484"
933,Affiliated Managers Group,4000,-48,Financial Services,"Amg Is A Global Asset Management Company With Equity Investments In Investment Management Firms. Amg's Strategy Is To Generate Value By Investing In Independent Active Investment Managers, Through A Partnership Approach. Amg Provides Centralized Assistance To Its Affiliates On Strategy, Marketing, Distribution And Product Development.","$2,240",-5.80%,$15.70,-93.60%,"$7,654","$2,831"
934,Oge Energy,2425,-21,Utilities,"Oge Energy Corp., Through Its Principal Subsidiary Oklahoma Gas And Electric Company, Generates, Transmits, And Distributes Electricity To Wholesale And Retail Customers In Communities In Oklahoma And Western Arkansas. The Company, Through Enogex Inc., Operates Natural Gas Transmission And Gathering Pipelines, Has Interests In Gas Processing Plants, And Markets Electricity.","$2,232",-1.70%,$433.60,1.90%,"$11,024","$6,152"
935,Universal Corp,28000,41,Tobacco,"Universal Corporation Is One Of The World's Leading Tobacco Merchants. Incorporated In 1918, Universal Is Headquarters In Richmond, Virginia, In The United States","$2,227",9.50%,$104.10,-1.50%,"$2,133","$1,091"
936,Bok Financial,5107,-,Multi-bank Holding,"The Banks Provide A Range Of Deposit Products, Loans, And Other Financial Services To Businesses And Consumers Through Offices And The Internet. Bok Also Offers Trust Services, Electronic Funds Transfer Services, Online Insurance, And Other Online Services.","$2,226",20.70%,$500.80,12.40%,"$42,172","$2,996"
